BTA,StartSNP,EndSNP,SizeSNP,StartPos,EndPos,WinId,varianceexplained
11,292634,292683,50,103264921,103409247,103,0.39833
6,164962,165011,50,80611486,80741948,80,0.33963
14,329807,329856,50,1588879,2150825,1,0.30038
24,500689,500738,50,30812998,30989044,30,0.25202
2,51301,51350,50,71394608,71563877,71,0.24755
26,523862,523911,50,21878305,22122641,21,0.22365
29,565210,565259,50,49494755,49853328,49,0.21865
1,32832,32881,50,148767550,148869669,148,0.21079
26,523780,523829,50,21307879,21564772,21,0.20775
26,521237,521286,50,9195089,9481137,9,0.1851
6,161619,161668,50,65071122,65269986,65,0.17824
11,292427,292476,50,102455269,102559814,102,0.17742
6,169252,169301,50,98953961,99066803,98,0.16732
22,467666,467715,50,3472128,3732676,3,0.15832
18,405884,405933,50,13574641,13707032,13,0.155
19,430009,430058,50,51720852,51823393,51,0.15349
11,292789,292838,50,103942684,104222061,103,0.15225
6,166335,166384,50,87136725,87296185,87,0.14365
12,303801,303850,50,44860028,45073424,44,0.14062
6,166031,166080,50,85313179,85646902,85,0.13672
11,292318,292367,50,102064215,102236609,102,0.13654
15,359476,359525,50,59868257,60099034,59,0.13623
25,513959,514008,50,21653152,21864932,21,0.13616
11,293307,293356,50,106501539,106573757,106,0.13244
24,498675,498724,50,21218573,21393498,21,0.13075
19,423978,424027,50,23732618,23944091,23,0.12996
1,32768,32817,50,148320266,148683216,148,0.12663
7,184954,185003,50,48874554,49299941,48,0.1208
6,158674,158723,50,53070858,53258776,53,0.11935
1,33081,33130,50,149514049,149695835,149,0.1188
16,374156,374205,50,37235210,37333347,37,0.11803
17,401828,401877,50,73900219,74093239,73,0.11775
1,32904,32953,50,148923116,149030370,148,0.1167
19,429039,429088,50,47269324,47422848,47,0.11629
26,523730,523779,50,20888677,21306592,20,0.11576
27,533393,533442,50,6936727,7091908,6,0.11562
22,479274,479323,50,53958102,54048088,53,0.11454
17,401974,402018,45,74712597,75132928,74,0.11398
29,563608,563657,50,40705578,40992331,40,0.11365
18,407593,407642,50,21041749,21232381,21,0.11164
17,399455,399504,50,64598946,64898765,64,0.11088
7,183045,183094,50,39715755,40144182,39,0.10925
10,263235,263284,50,86599094,86770169,86,0.10793
14,329934,329983,50,2673388,2978629,2,0.10749
18,412039,412088,50,38437932,38648879,38,0.10749
19,426613,426662,50,34877368,35189232,34,0.1059
13,317582,317631,50,18963404,19078845,18,0.10588
6,166439,166488,50,87583872,87750922,87,0.10543
14,329859,329908,50,2194228,2568452,2,0.10538
26,523616,523665,50,20384793,20519563,20,0.10536
14,333850,333899,50,19749165,19943530,19,0.10435
6,164903,164952,50,80261720,80510096,80,0.1014
8,218857,218906,50,103679033,103827128,103,0.10032
15,354085,354134,50,37019435,37148238,37,0.0978
8,216180,216229,50,89339360,89614568,89,0.09754
27,533137,533186,50,5010808,5407238,5,0.09712
9,239102,239151,50,86394294,86564354,86,0.09685
24,494800,494849,50,3450066,3616345,3,0.09637
6,158087,158136,50,50569375,50707590,50,0.09571
4,114035,114084,50,100549404,100639563,100,0.09566
15,355833,355882,50,43967231,44065944,43,0.09452
11,291547,291596,50,98700408,98871090,98,0.09424
6,147687,147736,50,7721955,7870230,7,0.09369
10,254547,254596,50,43952329,44198451,43,0.09334
4,112126,112175,50,92032742,92120761,92,0.09297
13,322678,322727,50,44077728,44267149,44,0.09257
28,550291,550340,50,34762852,34932181,34,0.09159
12,311392,311441,50,81367785,81439381,81,0.09133
10,260116,260165,50,72232862,72423489,72,0.09078
6,169552,169601,50,100084999,100247561,100,0.09056
17,399880,399929,50,66207361,66342159,66,0.08929
6,166385,166434,50,87311202,87566360,87,0.08873
26,524150,524199,50,23449628,23876476,23,0.08858
2,59268,59317,50,110392131,110642302,110,0.08845
25,508725,508774,50,2056208,2192928,2,0.08707
1,32697,32746,50,148064812,148162379,148,0.0858
9,224957,225006,50,21627163,21849499,21,0.08569
24,500605,500654,50,30383427,30643192,30,0.08488
11,291308,291357,50,97522060,97805736,97,0.08415
3,68013,68062,50,10148431,10280958,10,0.08342
10,260191,260240,50,72665130,73182423,72,0.0821
5,144445,144494,50,114455091,114509640,114,0.08111
7,184902,184951,50,48701157,48866816,48,0.07946
17,399690,399739,50,65706353,65854611,65,0.07938
12,297478,297527,50,14699050,14928468,14,0.07926
19,421660,421709,50,15113410,15278446,15,0.07901
11,286108,286157,50,76871805,77033781,76,0.07887
29,564610,564659,50,46439536,46666078,46,0.07862
28,549781,549830,50,33263959,33404779,33,0.07836
24,499902,499951,50,26870146,27028578,26,0.07822
11,292044,292093,50,100989168,101141864,100,0.07819
3,88152,88201,50,103642688,103891369,103,0.07797
8,208149,208198,50,45976651,46190761,45,0.07736
13,319757,319806,50,29557154,29789119,29,0.07658
1,4358,4407,50,19641727,19790148,19,0.07641
6,160082,160131,50,58700413,58826500,58,0.07621
7,185231,185280,50,50220189,50344581,50,0.07609
1,4607,4656,50,20821029,21020480,20,0.076
3,65833,65882,50,2306594,2509595,2,0.07572
6,173044,173093,50,114030808,114186062,114,0.07558
13,322732,322781,50,44309916,44576645,44,0.07558
5,126747,126796,50,30876371,31083661,30,0.07484
23,485945,485994,50,19898664,20029407,19,0.07455
5,138255,138304,50,87782593,87880459,87,0.07381
10,258520,258569,50,63411842,63594037,63,0.07378
9,240293,240342,50,91874467,92092497,91,0.07319
20,441062,441111,50,32459976,32878992,32,0.07266
19,420960,421009,50,12386742,12528971,12,0.07259
22,480539,480588,50,57824776,58028346,57,0.07235
16,370745,370794,50,23193563,23469281,23,0.07221
11,271234,271283,50,11365391,11433420,11,0.07219
1,34070,34119,50,152946002,153094190,152,0.07195
19,429887,429936,50,50866230,51299813,50,0.07138
7,188095,188144,50,64522263,64604455,64,0.07114
16,366281,366330,50,2336577,2573932,2,0.07078
8,216758,216807,50,92308889,92431930,92,0.07072
21,455003,455052,50,20259891,20358915,20,0.07035
8,207221,207270,50,40952605,41183355,40,0.0703
29,563468,563517,50,40200346,40364573,40,0.06985
4,100055,100104,50,33704970,33820418,33,0.06984
11,293368,293417,50,106601105,106708618,106,0.06973
10,258216,258265,50,62334813,62570816,62,0.06969
17,396921,396970,50,54425265,54630485,54,0.06964
2,61863,61912,50,122313975,122609713,122,0.06948
24,499566,499615,50,25475172,25725995,25,0.0692
5,143978,144027,50,111927225,112208006,111,0.06907
16,372009,372058,50,28829551,29018037,28,0.0684
8,219676,219725,50,107395420,107560148,107,0.06839
13,322266,322315,50,42340884,42425880,42,0.06835
29,562143,562192,50,34665622,34797963,34,0.06815
11,289222,289271,50,89294208,89465183,89,0.06782
8,213579,213628,50,75635247,75756391,75,0.06725
6,165710,165759,50,83699748,84008156,83,0.06709
8,219519,219568,50,106763318,107001675,106,0.06664
1,34200,34249,50,153380385,153483312,153,0.06643
2,51215,51264,50,70819672,71001181,70,0.06618
12,299296,299345,50,21818697,22048165,21,0.06578
6,147136,147185,50,3675610,3885921,3,0.06574
15,362897,362946,50,73635227,73770314,73,0.06566
17,391422,391471,50,31182877,31445813,31,0.06516
19,430078,430127,50,51905954,52166008,51,0.06515
10,255741,255790,50,48635667,48852428,48,0.06476
17,392189,392238,50,34841048,35158481,34,0.0642
18,405414,405463,50,10894164,11083539,10,0.0642
7,176240,176289,50,8764468,9085816,8,0.06417
23,489507,489556,50,32894927,32985524,32,0.06345
15,358759,358808,50,56383289,56820572,56,0.06334
27,533443,533492,50,7098997,7336111,7,0.06333
5,144389,144438,50,114357483,114448872,114,0.0629
6,168928,168977,50,97755919,98004832,97,0.06286
11,270586,270635,50,8626357,8834639,8,0.06277
24,508247,508296,50,62454396,62577774,62,0.06215
3,82026,82075,50,74065566,74294572,74,0.06198
11,287591,287640,50,82916958,82998027,82,0.06176
19,429377,429426,50,48772161,48934153,48,0.06174
2,51958,52007,50,74902195,75051646,74,0.06161
14,333900,333949,50,19993440,20216601,19,0.0615
11,292252,292301,50,101799171,101946913,101,0.06147
12,295969,296018,50,9600936,9798188,9,0.06143
2,51351,51400,50,71565086,71803331,71,0.06107
19,427934,427983,50,41639146,41808044,41,0.06093
1,29896,29945,50,138044525,138226422,138,0.06091
5,141322,141371,50,101131469,101270572,101,0.06084
28,545081,545130,50,9391009,9626071,9,0.06074
3,72106,72155,50,27554640,27651725,27,0.06049
1,33247,33296,50,150238694,150326746,150,0.06032
2,36001,36050,50,1777288,2003145,1,0.06024
17,401904,401953,50,74253514,74533008,74,0.06024
11,290194,290243,50,92597062,92755915,92,0.06019
6,148156,148205,50,9877280,10009504,9,0.06009
22,479398,479447,50,54358526,54499803,54,0.05991
11,272763,272812,50,18185192,18415923,18,0.0598
11,268883,268932,50,2820457,2959971,2,0.05879
11,269662,269711,50,5504889,5645384,5,0.05861
11,293256,293305,50,106359588,106497165,106,0.05861
15,353421,353470,50,34491135,34628055,34,0.0584
3,86714,86763,50,96888313,97163289,96,0.05836
14,334205,334254,50,21204818,21461638,21,0.05809
7,194805,194854,50,94033664,94196902,94,0.05803
7,194865,194914,50,94283075,94520491,94,0.05798
1,30541,30590,50,140380361,140579881,140,0.05768
15,365304,365353,50,83186867,83343612,83,0.05758
18,406509,406558,50,16794245,17007156,16,0.05752
17,398423,398472,50,60855057,61208810,60,0.05673
10,244568,244617,50,815085,964150,0,0.05667
13,314440,314489,50,1600398,1783779,1,0.05658
6,174484,174531,48,119291527,119454666,119,0.05654
11,293422,293471,50,106721902,106826292,106,0.05646
16,375564,375613,50,46741999,46855126,46,0.0564
23,493737,493786,50,50863846,51118713,50,0.05624
8,215690,215739,50,87194491,87365093,87,0.05604
11,275846,275895,50,31121459,31193925,31,0.05571
22,479656,479705,50,55206775,55324683,55,0.05563
10,255109,255158,50,46414265,46608664,46,0.05556
21,452831,452880,50,12562328,12678092,12,0.05546
14,341666,341715,50,64883824,64968182,64,0.05539
5,140861,140910,50,98903615,99121171,98,0.05526
6,146834,146883,50,2416211,2762334,2,0.05515
27,536551,536600,50,20303581,20455192,20,0.05503
27,539071,539120,50,31291005,31492178,31,0.05474
12,299915,299964,50,24368002,24501588,24,0.05441
11,291403,291452,50,97996076,98158960,97,0.05436
15,354767,354816,50,40066938,40269199,40,0.05415
8,214803,214852,50,82153287,82249679,82,0.05413
18,412854,412903,50,42033662,42206646,42,0.05406
17,396841,396890,50,54227065,54324272,54,0.05403
9,238103,238152,50,82312641,82564980,82,0.05402
19,431299,431348,50,56663975,56869183,56,0.05393
27,538630,538679,50,29921851,30123164,29,0.05384
3,69344,69393,50,15383115,15490422,15,0.0534
9,229989,230038,50,43914249,44043181,43,0.05333
9,237694,237743,50,80798114,80935523,80,0.05329
2,62195,62244,50,123704215,123798906,123,0.05316
15,360096,360145,50,62653688,62858422,62,0.05308
22,478883,478932,50,52086486,52413778,52,0.05303
20,434759,434808,50,5031866,5194729,5,0.05298
11,292140,292189,50,101283850,101483181,101,0.05286
18,407265,407314,50,19553485,19779228,19,0.05278
5,138039,138088,50,86972319,87135485,86,0.05256
12,302771,302820,50,38660049,38904964,38,0.05238
11,286862,286911,50,80019587,80182104,80,0.05237
18,411097,411146,50,34130628,34281128,34,0.05235
6,166660,166709,50,88613619,88814928,88,0.0522
8,209564,209613,50,52842241,53046440,52,0.0522
15,359426,359475,50,59460724,59861246,59,0.0522
12,312337,312386,50,84033990,84136868,84,0.05213
12,303296,303345,50,41739785,41947274,41,0.0521
14,334151,334200,50,21092953,21193882,21,0.0521
12,310572,310621,50,78419639,78530764,78,0.05205
11,290140,290189,50,92427454,92581975,92,0.05198
23,490695,490744,50,38948869,39077806,38,0.05197
15,360401,360450,50,64031519,64295674,64,0.0516
3,72208,72257,50,27769719,27952046,27,0.05153
18,407336,407385,50,19879636,20007758,19,0.05143
15,354837,354886,50,40349171,40499340,40,0.05138
7,182559,182608,50,37981775,38159884,37,0.05126
25,508673,508722,50,1827757,2043252,1,0.05125
5,123820,123869,50,17405849,17621905,17,0.05116
1,30703,30752,50,141402740,141565593,141,0.05103
21,456896,456945,50,29334308,29574235,29,0.05045
22,471368,471417,50,18812336,18904299,18,0.05035
2,51686,51735,50,73572756,73749796,73,0.05021
11,291471,291520,50,98234332,98499063,98,0.05016
8,210143,210192,50,55736164,55925775,55,0.05006
8,219310,219359,50,106062663,106221540,106,0.04995
13,324547,324596,50,55777859,55894151,55,0.0499
11,293081,293130,50,105397592,105622847,105,0.04985
11,288604,288653,50,86966270,87116987,86,0.04971
22,478576,478625,50,50609631,50788488,50,0.04952
3,76553,76602,50,46755686,47028127,46,0.04949
11,284027,284076,50,68617997,68716784,68,0.04943
11,279021,279070,50,45824346,45923203,45,0.04938
24,498755,498804,50,21496108,21735980,21,0.04931
8,215157,215206,50,83905508,84177404,83,0.04928
29,563936,563985,50,42350198,42592384,42,0.04919
7,187917,187966,50,64004569,64158811,64,0.04909
19,423133,423182,50,20291321,20480233,20,0.04898
29,554363,554412,50,3710500,3858149,3,0.04897
17,401542,401591,50,72660032,72770756,72,0.04872
17,401747,401796,50,73614295,73806844,73,0.04872
26,523667,523716,50,20538887,20794439,20,0.04863
22,470751,470800,50,16278463,16404547,16,0.04858
2,59889,59938,50,113297232,113483502,113,0.04856
27,533273,533322,50,6625235,6709968,6,0.04855
18,411153,411202,50,34344389,34485639,34,0.04845
1,7191,7240,50,32447075,32603269,32,0.04842
6,171203,171252,50,106440567,106585156,106,0.04805
11,277235,277284,50,37067334,37263987,37,0.04801
16,366173,366222,50,1968919,2129471,1,0.04793
2,63541,63590,50,129869382,130216835,129,0.04792
15,358397,358446,50,54927909,55046199,54,0.04789
16,371872,371921,50,28442471,28501351,28,0.04776
17,399507,399556,50,64907342,65164050,64,0.04766
10,258458,258507,50,63179496,63362817,63,0.04746
26,530452,530501,50,46913032,46990767,46,0.04745
10,251575,251624,50,28540609,28636046,28,0.04742
1,28821,28870,50,133211087,133374089,133,0.04717
2,61795,61844,50,121951598,122116386,121,0.04712
28,552721,552770,50,43232641,43319100,43,0.04705
6,166201,166250,50,86272040,86624529,86,0.04701
13,325123,325172,50,58016636,58367602,58,0.047
25,510713,510762,50,9001562,9347230,9,0.047
18,411434,411483,50,35647183,35867335,35,0.04694
20,445895,445944,50,56272517,56401136,56,0.04671
15,351872,351921,50,27614641,27876965,27,0.0467
19,430202,430251,50,52381782,52524632,52,0.04666
11,269481,269530,50,4940242,5060899,4,0.0466
19,429685,429734,50,50041359,50306191,50,0.04635
23,485264,485313,50,17051598,17181507,17,0.04628
26,530143,530192,50,46089793,46231997,46,0.04625
7,182926,182975,50,39342176,39474843,39,0.04619
7,186184,186233,50,56278052,56568258,56,0.04604
21,462106,462155,50,51923877,52158732,51,0.04604
3,92483,92532,50,119899662,120185152,119,0.04599
16,365795,365844,50,485203,590117,0,0.04598
5,121344,121393,50,6250845,6363991,6,0.04595
7,183990,184039,50,44100829,44538953,44,0.04582
19,429108,429157,50,47488850,47853817,47,0.04582
15,346632,346681,50,4688387,4847119,4,0.04578
